show_id,title,short_title,creator,seasons,episodes,primary_time,rating,premiere_date,finale_date,channel
1,The Wuzzles,WUZZ,Carson Van Osten,1,13,5,TV-Y,1985-09-14,1985-12-07,CBS/UPN
2,Adventures of the Gummi Bears,GUMMI,"Michael Eisner, Jymn Magon",6,95,11,TV-Y,1985-09-14,1991-02-22,"Syndication, ABC"
3,DuckTales (1987),DT87,Jymn Magon,4,101,22,TV-Y7,1987-09-18,1990-11-28,Syndication
4,The New Adventures of Winnie the Pooh,NAWP,Karl Geurs,4,82,11,TV-Y,1988-01-17,1991-10-26,"Disney Channel, ABC"
5,Chip 'n Dale: Rescue Rangers,CDRR,"Tad Stones, Alan Zaslove",3,65,22,TV-Y,1989-03-04,1990-11-19,"Disney Channel, Syndication"
6,TaleSpin,TALE,"Jymn Magon, Mark Zaslove",1,65,22,TV-Y7,1990-09-07,1991-08-08,"Disney Channel, Syndication"
7,Darkwing Duck,DARK,Tad Stones,3,91,22,TV-Y7,1991-09-06,1992-12-05,"Syndication, ABC"
8,Goof Troop,GOOF,"Robert Taylor, Michael Peraza Jr.",2,78,22,TV-Y,1992-09-05,1992-12-05,"Syndication, ABC"
9,The Little Mermaid,MER,Jamie Mitchell,3,31,22,TV-Y,1992-09-11,1994-11-26,CBS/UPN
10,Raw Toonage,RAW,"Larry Latham, Ed Wexler",1,39,5,TV-Y,1992-09-19,1992-12-05,CBS/UPN
11,Bonkers,BONK,"Larry Latham, Duane Capizzi, Robert Taylor",4,65,22,TV-Y,1993-02-28,1994-02-23,Syndication
12,Marsupilami,MARS,"Andre Franquin, Ed Wexler",1,39,5,TV-Y,1993-09-18,1993-12-11,CBS/UPN
13,Aladdin,ALDN,"Tad Stones, Alan Zaslove",3,86,22,TV-Y7,1994-02-06,1995-11-23,"Disney Channel, Syndication, CBS/UPN"
14,Gargoyles,GRGYL,"Greg Weisman, Michael Reaves",3,78,22,TV-Y7,1994-10-24,1997-02-15,"Syndication, ABC"
15,The Shnookums and Meat Funny Cartoon Show,SAM,Bill Kopp,1,39,5,TV-G,1995-01-02,1995-03-27,Syndication
16,Timon and Pumbaa,TAP,"Bobs Gannaway, Tony Craig",3,170,11,TV-Y,1995-09-08,1999-09-24,"Syndication, CBS/UPN, Toon Disney"
17,Quack Pack,QUACK,"Toby Shelton, Kevin Hopps",1,39,22,TV-G,1996-09-03,1996-11-28,Syndication
18,Mighty Ducks: The Animated Series,MD,"Marty Isenberg, Robert N. Skir, David Wise",1,26,22,TV-Y7,1996-09-06,1997-01-17,"Syndication, ABC"
19,Disney's Doug,DOUG,Jim Jinkins,3,65,22,TV-Y,1996-09-07,1999-06-26,ABC
20,Jungle Cubs,CUBS,Mark S. Bernthal,2,34,11,TV-Y,1996-10-05,1998-01-10,ABC
21,Nightmare Ned,NED,"Terry Shakespeare, Sue Shakespeare, David Molina",1,25,11,TV-Y7,1997-04-19,1997-07-05,ABC
22,101 Dalmatians: The Series,101D,"Jim Jinkins, David Campbell",2,105,11,TV-Y,1997-09-01,1998-03-04,"Syndication, ABC"
23,Recess,RCSS,"Paul Germain, Joe Ansolabehere",6,127,11,TV-Y,1997-09-13,2001-11-05,"ABC, CBS/UPN"
24,Pepper Ann,PEP,Sue Rose,5,113,11,TV-Y,1997-09-13,2000-11-18,"ABC, CBS/UPN"
25,PB&J Otter,PBJ,Jim Jinkins,3,128,11,TV-Y,1998-03-15,2000-10-15,Disney Channel
26,Hercules: The Animated Series,HERC,Tad Stones,2,65,22,TV-Y7,1998-08-31,1999-03-01,"Syndication, ABC"
27,Mickey Mouse Works,MMW,Bobs Gannaway,2,96,5,TV-Y,1999-05-01,2000-12-16,ABC
28,The Weekenders,WEEK,Doug Langdale,4,73,11,TV-Y7,2000-02-26,2004-02-29,"ABC, CBS/UPN, Toon Disney"
29,Clerks: The Animated Series,CLRKS,"David Mandel, Scott Mosier, Kevin Smith",1,6,22,TV-MA,2000-05-31,2002-12-14,ABC
30,Teacher's Pet,TEACH,"Gary Baseman, Bill Steinkellner, Cheri Steinkellner",2,47,22,TV-Y,2000-09-09,2002-05-10,"ABC, Toon Disney"
31,Buzz Lightyear of Star Command,BLSC,"Mark McCorkle, Bob Schooley",1,62,22,TV-Y7,2000-10-02,2001-01-13,"ABC, CBS/UPN"
32,House of Mouse,HOUSE,"Bobs Gannaway, Tony Craig",3,52,22,TV-Y,2001-01-13,2003-10-24,"ABC, Toon Disney"
33,Lloyd in Space,LLOYD,"Paul Germain, Joe Ansolabehere",4,39,22,TV-Y7,2001-02-03,2004-02-27,"ABC, Toon Disney"
34,The Legend of Tarzan,TARZN,"Bob Roth, Bill Motz",2,39,22,TV-Y,2001-09-03,2003-02-05,CBS/UPN
35,Teamo Supremo,TEAMO,Phil Walsh,3,76,11,TV-Y,2002-01-19,2004-08-17,"ABC, Toon Disney"
36,Kim Possible,KIM,"Mark McCorkle, Bob Schooley",4,92,22,TV-G,2002-06-07,2007-09-07,Disney Channel
37,Fillmore!,FILL,Scott M. Gimple,2,26,22,TV-Y7,2002-09-14,2004-01-30,"ABC, Toon Disney"
38,Lilo and Stitch: The Series,LAS,"Bobs Gannaway, Jess Winfield",2,67,22,TV-G,2003-09-20,2006-07-29,"Disney Channel, ABC"
39,Dave the Barbarian,DAVE,Doug Langdale,1,42,11,TV-Y,2004-01-23,2005-01-22,Disney Channel
40,Brandy & Mr. Whiskers,BAMW,Russell Marcus,2,77,11,TV-Y,2004-08-21,2006-08-25,Disney Channel
41,Super Robot Monkey Team Hyperforce Go!,SRMT,Ciro Nieli,4,52,22,TV-Y,2004-09-18,2006-12-16,Toon Disney
42,American Dragon: Jake Long,DRAGN,"Jeff Goode, Eddie Guzelian, Matt Negrete",2,55,22,TV-G,2005-01-21,2007-09-01,Disney Channel
43,The Buzz on Maggie,TBOM,Dave Polsky,1,42,11,TV-G,2005-06-17,2006-05-27,Disney Channel
44,Get Ed,GETED,Andy Knight,1,26,22,TV-Y7,2005-09-19,2006-04-24,Toon Disney
45,The Emperor's New School,TENS,Mark Dindal,2,52,22,TV-G,2006-01-27,2008-11-20,Disney Channel
46,Mickey Mouse Clubhouse,MMC,Bobs Gannaway,4,125,22,TV-Y,2006-05-05,2016-11-06,Disney Junior
47,The Replacements,REPL,Dan Santat,2,52,11,TV-Y,2006-07-28,2009-03-30,Disney Channel
48,Shorty McShorts' Shorts,SHORT,"Barry Blumberg, John Solomon",2,13,5,TV-Y,2006-07-28,2007-05-25,Disney XD
49,Yin Yang Yo!,YYY,Bob Boyle,2,104,11,TV-G,2006-08-26,2009-04-18,"Toon Disney, Disney XD"
50,My Friends Tigger & Pooh,MFTAP,Brian Hohlfield,3,63,11,TV-Y,2007-05-12,2010-10-09,Disney Junior
51,Phineas and Ferb,PAF,"Dan Povenmire, Jeff ""Swampy"" Marsh",4,222,11,TV-G,2007-08-17,2015-06-12,Disney Channel
52,Special Agent Oso,OSO,Ford Riley,2,117,11,TV-Y,2009-04-04,2012-05-17,Disney Junior
53,Kick Buttowski: Suburban Daredevil,KICK,Sandro Corsaro,2,104,11,TV-Y7,2010-02-13,2012-12-02,Disney XD
54,Fish Hooks,FISH,Noah Z. Jones,3,110,11,TV-PG,2010-09-03,2014-04-04,Disney Channel
55,Take Two with Phineas and Ferb,TTPAF,"Dan Povenmire, Jeff ""Swampy"" Marsh",1,20,5,TV-G,2010-12-03,2011-11-25,Disney Channel
56,Jake and the Never Land Pirates,JNLP,Bobs Gannaway,4,215,11,TV-Y,2011-02-14,2016-11-06,Disney Channel
57,Motorcity,MOTOR,"Chris Prynoski, David Bickel",1,20,22,TV-Y7,2012-04-30,2013-01-07,Disney XD
58,Tron: Uprising,TRON,"Edward Kitsis, Adam Horowitz",1,19,22,TV-Y7,2012-05-18,2013-01-28,Disney XD
59,Gravity Falls,GF,Alex Hirsch,2,40,22,TV-Y7,2012-06-15,2016-02-15,"Disney Channel, Disney XD"
60,Randy Cunningham: 9th Grade Ninja,RC9GN,"Jed Elinoff, Scott Thomas",2,100,11,TV-G,2012-08-13,2015-07-27,Disney XD
61,Sofia the First,SOFIA,Craig Gerber,4,109,22,TV-Y,2013-01-11,2018-09-08,Disney Junior
62,Mickey Mouse,MM,Paul Rudish,5,96,5,TV-G,2013-06-28,2019-07-20,Disney Channel
63,Wander Over Yonder,WOY,Craig McCracken,2,79,11,TV-Y7,2013-08-16,2016-06-27,"Disney Channel, Disney XD"
64,The 7D,7D,"Tom Ruegger, Mr. Warburton, Noah Z. Jones",2,87,11,TV-Y,2014-07-07,2016-11-05,Disney XD
65,Penn Zero: Part-Time Hero,ZERO,"Jared Bush, Sam Levine",2,61,11,TV-Y7,2014-12-05,2017-07-28,Disney XD
66,Star vs. the Forces of Evil,STAR,Daron Nefcy,4,140,11,TV-Y7,2015-01-18,2019-05-19,"Disney Channel, Disney XD"
67,Two More Eggs,EGGS,The Brothers Chaps,3,90,5,TV-Y7,2015-08-10,2017-09-04,Disney XD
68,Pickle and Peanut,PAP,"Noah Z. Jones, Joel Trussell",2,82,11,TV-14,2015-09-07,2018-01-20,Disney XD
69,Descendants: Wicked World,DESC,"Aliki Theofilopoulos, Jennifer Magee-Cook",3,36,5,TV-Y7,2015-09-18,2017-03-03,Disney Channel
70,The Lion Guard,LION,Ford Riley,3,74,22,TV-Y,2016-01-15,2019-11-03,Disney Junior
71,Elena of Avalor,ELENA,Craig Gerber,3,77,22,TV-Y,2016-07-22,2020-08-23,"Disney Channel, Disney Junior"
72,Future-Worm!,FW,Ryan Quincy,1,60,11,TV-Y7,2016-08-01,2018-05-19,Disney XD
73,Milo Murphy's Law,MILO,"Dan Povenmire, Jeff ""Swampy"" Marsh",2,73,11,TV-Y7,2016-10-03,2019-05-18,"Disney Channel, Disney XD"
74,Mickey Mouse Mixed-Up Adventures,MMMUA,"Rob LaDuca, Mark Seidenberg",3,174,11,TV-Y,2017-01-15,2021-10-01,Disney Junior
75,Rapunzel's Tangled Adventure,TNGLD,"Shane Prigmore, Chris Sonnenburg",3,60,22,TV-Y7,2017-03-24,2020-03-01,Disney Channel
76,Billy Dilley's Super-Duper Subterranean Summer,BILLY,Aaron Springer,1,25,11,TV-Y7,2017-06-03,2017-06-15,Disney XD
77,DuckTales (2017),DT17,"Matt Youngberg, Francisco Angones",3,69,22,TV-Y,2017-08-12,2021-03-15,"Disney Channel, Disney XD"
78,Big Hero 6: The Series,BH6,"Mark McCorkle, Bob Schooley",3,66,22,TV-Y7,2017-11-20,2021-02-15,"Disney Channel, Disney XD"
79,Big City Greens,BCG,The Houghton Brothers,4,210,11,TV-Y7,2018-06-18,2026-12-31,Disney Channel
80,Fancy Nancy,NANCY,"Anne Smith, Jamie Mitchell, Krista Tucker",3,123,11,TV-Y,2018-07-13,2022-02-18,Disney Junior
81,Amphibia,AMP,Matt Braly,3,106,11,TV-Y7,2019-06-17,2022-05-14,Disney Channel
82,The Owl House,TOH,Dana Terrace,3,43,22,TV-Y7-FV,2020-01-10,2023-04-08,Disney Channel
83,The Wonderful World of Mickey Mouse,WWMM,Paul Rudish,2,25,5,TV-G,2020-11-18,2023-07-28,Disney+
84,Monsters at Work,MAW,Bobs Gannaway,2,20,22,TV-G,2021-07-07,2024-05-04,Disney+
85,Mickey Mouse Funhouse,MMF,"Phil Weinstein, Thomas Hart",3,151,11,TV-Y,2021-07-16,2025-04-25,Disney Junior
86,The Ghost and Molly McGee,TGAMM,"Bill Motz, Bob Roth",2,78,11,TV-Y7,2021-10-01,2024-01-13,Disney Channel
87,"Rise Up, Sing Out",SING,"Latoya Raveneau, Questlove",2,15,5,TV-G,2022-02-02,2025-01-24,Disney Junior
88,Alice's Wonderland Bakery,ALICE,Chelsea Beyl,2,98,11,TV-Y,2022-02-09,2024-04-15,Disney Junior
89,The Proud Family: Louder and Prouder,PROUD,"Bruce W. Smith, Ralph Farquhar",3,29,22,TV-PG,2022-02-23,2026-12-31,Disney+
90,Chibiverse,CHIBI,Gino Guzzardo,3,11,22,TV-Y7,2022-07-30,2026-12-31,Disney Channel
91,Hamster & Gretel,HAG,Dan Povenmire,2,96,11,TV-Y7,2022-08-12,2025-04-13,Disney Channel
92,Firebuds,FIRE,Craig Gerber,3,119,11,TV-Y,2022-09-21,2025-12-04,Disney Junior
93,Moon Girl and Devil Dinosaur,MGADD,"Steve Loter, Jeffrey M. Howard, Kate Kondell",2,41,22,TV-Y7-FV,2023-02-10,2025-03-08,Disney Channel
94,Kiff,KIFF,"Lucy Heavens, Nic Smal",2,114,11,TV-Y7,2023-03-10,2026-12-31,Disney Channel
95,Hailey's On It!,HOI,"Devin Bunje, Nick Stanton",1,56,11,TV-Y7,2023-06-08,2024-05-18,Disney Channel
96,Playdate with Winnie the Pooh,PDWP,Oddbot Inc.,2,30,11,TV-G,2023-08-08,2025-04-09,Disney Junior
97,Ariel,ARIEL,Lynne Southerland,2,73,11,TV-Y,2024-06-27,2026-12-31,Disney Junior
98,Zombies: The Re-Animated Series,ZMB,"Aliki Theofilopoulos, Jack Ferraiolo",1,37,11,TV-PG,2024-06-28,2024-12-07,"Disney Channel, Disney+"
99,Primos,PRIMO,Natasha Kline,1,55,11,TV-Y7,2024-07-25,2025-04-27,Disney Channel
100,StuGo,STUGO,Ryan Gillis,1,40,11,TV-G,2025-01-11,2025-05-03,Disney Channel
101,RoboGobo,ROBO,Chris Gilligan,2,50,11,TV-Y,2025-01-17,2026-12-31,Disney Junior
102,Phineas and Ferb,PAF,"Dan Povenmire, Jeff ""Swampy"" Marsh",5,257,11,TV-G,2025-06-05,2026-12-31,Disney Channel
103,Mickey Mouse Clubhouse+,MMCP,"Rob LaDuca, Kim Duran",1,19,22,TV-Y,2025-07-21,2026-12-31,Disney Junior
